code,name,level,ward
mn4q3,Mầm non 4,mn,phuongbanco
mn5q3,Mầm non 5,mn,phuongbanco
thluongdinhcua,Tiểu Học Lương Định Của,th,phuongbanco
thnguyensonha,Tiểu Học Nguyễn Sơn Hà,th,phuongbanco
thnguyenthienthuatq3,Tiểu Học Nguyễn Thiện Thuật,th,phuongbanco
thphanvanhan,Tiểu Học Phan Văn Hân,th,phuongbanco
thspphandinhphung,Tiểu Học THSP Phan Đình Phùng,th,phuongbanco
thcsbanco,THCS Bàn Cờ,thcs,phuongbanco
thcskienthiet,THCS Kiến Thiết,thcs,phuongbanco
thcsphansaonam,THCS Phan Sào Nam,thcs,phuongbanco
thcsthanglong,THCS Thăng Long,thcs,phuongbanco
mghuonghong,Mầm non Hương Hồng,mn,phuongbayhien
mn10atanbinh,Mầm non 10A,mn,phuongbayhien
mn10tanbinh,Mầm non 10,mn,phuongbayhien
mn11tanbinh,Mầm non 11,mn,phuongbayhien
mn12tanbinh,Mầm non 12,mn,phuongbayhien
mnhoamitanbinh,Mầm non Họa Mi,mn,phuongbayhien
mnphuhoa,Mầm non Phú Hòa,mn,phuongbayhien
thcachmangthangtam,Tiểu Học Cách Mạng Tháng Tám,th,phuongbayhien
thlaclongquantanbinh,Tiểu Học Lạc Long Quân,th,phuongbayhien
thlethihonggamtanbinh,Tiểu Học Lê Thị Hồng Gấm,th,phuongbayhien
thnguyenkhuyentanbinh,Tiểu Học Nguyễn Khuyến,th,phuongbayhien
thnguyenvantroitanbinh,Tiểu Học Nguyễn Văn Trỗi,th,phuongbayhien
thphuthohoa,Tiểu Học Phú Thọ Hoà,th,phuongbayhien
thtranquoctuan,Tiểu Học Trần Quốc Tuấn,th,phuongbayhien
thcsngoquyentanbinh,THCS Ngô Quyền,thcs,phuongbayhien
thcstranvanquang,THCS Trần Văn Quang,thcs,phuongbayhien
thcstruongchinh,THCS Trường Chinh,thcs,phuongbayhien
thcsvovantan,THCS Võ Văn Tần,thcs,phuongbayhien
thcslaihungbc,Trường THCS Lai Hưng,thcs,phuongbencat
mnbenthanh,Mầm non Bến Thành,mn,phuongbenthanh
mnnguyenthaibinh,Mầm non Nguyễn Thái Bình,mn,phuongbenthanh
mnphamngulao,Trường Mầm Non Phạm Ngũ Lão,mn,phuongbenthanh
mntuoihong-benthanh,Mầm non Tuổi Hồng,mn,phuongbenthanh
mntuoitho,Mầm non Tuổi Thơ,mn,phuongbenthanh
thketdoan,Tiểu Học Kết Đoàn,th,phuongbenthanh
thkhaiminh,Tiểu Học Khai Minh,th,phuongbenthanh
thlengochan,Tiểu Học Lê Ngọc Hân,th,phuongbenthanh
thnguyenhueq1,Tiểu Học Nguyễn Huệ,th,phuongbenthanh
thnguyenthaibinhq1,Tiểu Học Nguyễn Thái Bình,th,phuongbenthanh
thnguyenthaihoc,Tiểu Học Nguyễn Thái Học,th,phuongbenthanh
thcsdongkhoi-benthanh,THCS Đồng Khởi,thcs,phuongbenthanh
thcsnguyenduq1,THCS Nguyễn Du Q.1,thcs,phuongbenthanh
mamnonbinhco,Mầm non Bình Cơ,mn,phuongbinhco
tieuhocbinhmy,Trường Tiểu học Bình Mỹ,th,phuongbinhco
thcshoinghia,Trường THCS Hội Nghĩa,thcs,phuongbinhco
lopmamnon-binhdong,Lớp Mầm non Phường Bình Đông,mn,phuongbinhdong
mn19thang5q8,Mầm non 19-5,mn,phuongbinhdong
mnsaomaiq8,Mầm non Sao Mai,mn,phuongbinhdong
mnthongocq8,Mầm non Thỏ Ngọc,mn,phuongbinhdong
mntuoingocq8,Mầm non Tuổi Ngọc,mn,phuongbinhdong
mntuoithoq8,Mầm non Tuổi Thơ,mn,phuongbinhdong
thanphong,Tiểu Học An Phong,th,phuongbinhdong
thbongsao,Tiểu Học Bông Sao,th,phuongbinhdong
thbuiminhtruc,Tiểu Học Bùi Minh Trực,th,phuongbinhdong
thhoangminhdao,Tiểu Học Hoàng Minh Đạo,th,phuongbinhdong
thnguyentrungngan,Tiểu Học Nguyễn Trung Ngạn,th,phuongbinhdong
thphandangluu,Tiểu Học Phan Đăng Lưu,th,phuongbinhdong
thcsbinhanq8,THCS Bình An,thcs,phuongbinhdong
thcsphandangluu,THCS Phan Đăng Lưu,thcs,phuongbinhdong
thcsphuloi,THCS Phú Lợi,thcs,phuongbinhdong
thcssuongnguyetanhq8,THCS Sương Nguyệt Anh,thcs,phuongbinhdong
thcsphuchanh,Trường THCS Phú Chánh,thcs,phuongbinhduong
thbinhhoa2-binhhoa,TH Bình Hòa 2,th,phuongbinhhoa
mnanhmai,Mầm non Ánh Mai,mn,phuongbinhhunghoa
mndoquyen,MN Đỗ Quyên,mn,phuongbinhhunghoa
mnhoaphuongvy,MN Hoa Phượng Vỹ,mn,phuongbinhhunghoa
mnnguyetque,Mầm non Nguyệt Quế,mn,phuongbinhhunghoa
trucdaobta,Mầm non Trúc Đào,mn,phuongbinhhunghoa
tuoihoabta,Mầm non Tuổi Hoa,mn,phuongbinhhunghoa
thbinhhunghoa,Tiểu Học Bình Hưng Hòa,th,phuongbinhhunghoa
thbinhlong,Tiểu Học Bình Long,th,phuongbinhhunghoa
thbinhthuan,Tiểu học Bình Thuận,th,phuongbinhhunghoa
thhuynhthuckhangbt,Tiểu học Huỳnh Thúc Kháng,th,phuongbinhhunghoa
thlachong,Tiểu học Lạc Hồng,th,phuongbinhhunghoa
thlehuutrac,Trường Tiểu học Lê Hữu Trác,th,phuongbinhhunghoa
thletrongtan,Tiểu Học Lê Trọng Tấn,th,phuongbinhhunghoa
thphudongbinhtan,Tiểu Học Phù Đổng,th,phuongbinhhunghoa
thtrandainghia,Tiểu học Trần Đại Nghĩa,th,phuongbinhhunghoa
thtrieuquangphuc,Tiểu học Triệu Quang Phục,th,phuongbinhhunghoa
thcslaclongquan,THCS Lạc Long Quân,thcs,phuongbinhhunghoa
thcsnguyentraibinhtan,THCS Nguyễn Trãi,thcs,phuongbinhhunghoa
thcstranquoctoanbinhtan,THCS Trần Quốc Toản,thcs,phuongbinhhunghoa
mgbonghongbinhthanh,Mẫu Giáo Bông Hồng,mn,phuongbinhloitrung
mghoaanhdao,Mẫu Giáo Hoa Anh Đào,mn,phuongbinhloitrung
mgthienthan,Mẫu giáo Thiên Thần,mn,phuongbinhloitrung
mn11abinhthanh,Mầm non 11A,mn,phuongbinhloitrung
mn11bbinhthanh,Mầm non 11B,mn,phuongbinhloitrung
mn13binhthanh,Mầm non 13,mn,phuongbinhloitrung
mn5binhthanh,Mầm non 5,mn,phuongbinhloitrung
mn6binhthanh,Mầm non 6,mn,phuongbinhloitrung
mnmailinh,Mầm non tư thục Mai Linh,mn,phuongbinhloitrung
mnngoilangvuive,Trường Mầm non Ngôi Làng Vui Vẻ,mn,phuongbinhloitrung
thbinhloitrung,Tiểu học Bình Lợi Trung,th,phuongbinhloitrung
thnguyenbangocbinhthanh,Tiểu Học Nguyễn Bá Ngọc,th,phuongbinhloitrung
thphanvantribinhthanh,Tiểu Học Phan Văn Trị,th,phuongbinhloitrung
thyenthebinhthanh,Tiểu Học Yên Thế,th,phuongbinhloitrung
thcsbcyenthe,THCS Yên Thế,thcs,phuongbinhloitrung
thcsbinhloitrung,THCS Bình Lợi Trung,thcs,phuongbinhloitrung
thcsnguyenvanbe,THCS Nguyễn Văn Bé,thcs,phuongbinhloitrung
mncobonlaq6,Mầm non Cỏ Bốn Lá – Quận 6,mn,phuongbinhphu
mnmycat,Mầm non Mỹ Cát,mn,phuongbinhphu
mnrangdong10,Mầm non Rạng Đông 10,mn,phuongbinhphu
mnrangdong11,Mầm non Rạng Đông 11,mn,phuongbinhphu
mnrangdong11a,Mầm non Rạng Đông 11A,mn,phuongbinhphu
mnrangdongq6,Trường Mầm non Rạng Đông Quận,mn,phuongbinhphu
thnguyenvanluong,Tiểu Học Nguyễn Văn Luông,th,phuongbinhphu
thphudinh,Tiểu Học Phú Định,th,phuongbinhphu
thphudongq6,Tiểu Học Phù Đổng,th,phuongbinhphu
thcslamsonq6,THCS Lam Sơn,thcs,phuongbinhphu
thcsnguyenthaibinhq6,THCS Nguyễn Thái Bình,thcs,phuongbinhphu
thcsnguyenvanluong,THCS Nguyễn Văn Luông,thcs,phuongbinhphu
thcsphudinh,THCS Phú Định,thcs,phuongbinhphu
hoatramy4q8,Mầm non Hoa Trà My 4,mn,phuongbinhquoi
mn27binhthanh,Mầm non 27,mn,phuongbinhquoi
mn28binhthanh,Mầm non 28,mn,phuongbinhquoi
mnhoaanhdao,Mầm non Hoa Anh Đào,mn,phuongbinhquoi
mnhoangmai1,Trường Mầm Non Hoàng Mai I,mn,phuongbinhquoi
mnmaithon,Mầm non tư thục Mai Thôn,mn,phuongbinhquoi
mnngayvui,Trường Mầm non Ngày Vui - Happy Day Kindergarten,mn,phuongbinhquoi
thbinhquoitay1,Tiểu Học Bình Quới Tây,th,phuongbinhquoi
ththanhda,Tiểu Học Thanh Đa,th,phuongbinhquoi
thcsbccuchinhlan,THCS Cù Chính Lan,thcs,phuongbinhquoi
thcsbinhquoitay,THCS Bình Quới Tây,thcs,phuongbinhquoi
thcsthanhda,THCS Thanh Đa,thcs,phuongbinhquoi
1thang6bta,Mầm non 1 Tháng 6,mn,phuongbinhtan
mn30thang4-bt,Mầm Non 30 - 4,mn,phuongbinhtan
mnhoaphuongbinhtan,Mầm non Hoa Phượng,mn,phuongbinhtan
mnsenhongbinhtan,Mầm non Sen Hồng,mn,phuongbinhtan
thhoangvanthubt,Tiểu học Hoàng Văn Thụ,th,phuongbinhtan
thkimdongbinhtan,Tiểu Học Kim Đồng,th,phuongbinhtan
thngoquyen,Tiểu Học Ngô Quyền,th,phuongbinhtan
thtrancaovanbinhtan,Trường Tiểu học Trần Cao Vân,th,phuongbinhtan
thtrancaovanbt,Tiểu học Trần Cao Vân,th,phuongbinhtan
thtranvanonbinhtan,Tiểu Học Trần Văn Ơn,th,phuongbinhtan
thcsbinhhunghoa,THCS Bình Hưng Hòa,thcs,phuongbinhtan
thcshovanlong,THCS Hồ Văn Long,thcs,phuongbinhtan
thcshuynhvannghebinhtan,THCS Huỳnh Văn Nghệ,thcs,phuongbinhtan
thcslengochan,THCS Lê Ngọc Hân,thcs,phuongbinhtan
thcstantao,THCS Tân Tạo,thcs,phuongbinhtan
mnrangdong2,Mầm non Rạng Đông 2,mn,phuongbinhtay
mnrangdong5,Mầm non Rạng Đông 5,mn,phuongbinhtay
mnrangdong5a,Mầm non Rạng Đông 5A,mn,phuongbinhtay
mnrangdong6,Mầm non Rạng Đông 6,mn,phuongbinhtay
mnrangdong9,Mầm non Rạng Đông 9,mn,phuongbinhtay
