code,name,level,ward
thdianc,Tiểu học Dĩ An C,th,phuongdian
thlythuongkiet-dian,Trường Tiểu học Lý Thường Kiệt,th,phuongdian
thnhidong,Trường Tiểu học Nhị Đồng,th,phuongdian
thtandonghiepb,Trường Tiểu học Tân Đông Hiệp B,th,phuongdian
thcsanbinh-dian,Trường THCS An Bình,thcs,phuongdian
thcsdian,Trường THCS Dĩ An,thcs,phuongdian
thcstandonghiep,Trường THCS Tân Đông Hiệp,thcs,phuongdian
thcsvotruongtoan-dian,Trường THCS Võ Trường Toản,thcs,phuongdian
mn2thang9q10,Mầm non 2-9,mn,phuongdienhong
mnanhduong-dienhong,Mầm non Phường 6,mn,phuongdienhong
mnhaiau-dienhong,Mầm non Phường 8,mn,phuongdienhong
mnhoaanhdao-dienhong,Mầm non Hoa Anh Đào,mn,phuongdienhong
mnhoahuongduong-dienhong,Mầm non Phường 14,mn,phuongdienhong
mnmangnon2,Mầm non Măng Non II,mn,phuongdienhong
mnphuong5q10,Mầm non Phường 5,mn,phuongdienhong
thduongminhchauq10,Tiểu Học Dương Minh Châu,th,phuongdienhong
thledinhchinhq10,Tiểu học Lê Đình Chinh,th,phuongdienhong
thnguyenchithanh,Tiểu Học Nguyễn Chí Thanh,th,phuongdienhong
thtranvankieu,Tiểu Học Trần Văn Kiểu,th,phuongdienhong
thvotruongtoan,Tiểu Học Võ Trường Toản,th,phuongdienhong
thcsnguyentriphuongq10,THCS Nguyễn Tri Phương,thcs,phuongdienhong
thcsnguyenvanto,THCS Nguyễn Văn Tố,thcs,phuongdienhong
thbinhan,Trường Tiểu học Bình An,th,phuongdonghoa
thnguyenkhuyen,Trường Tiểu học Nguyễn Khuyến,th,phuongdonghoa
tieuhocdonghoa,Trường Tiểu học Đông Hòa,th,phuongdonghoa
thcsbinhan-donghoa,Trường THCS Bình An,thcs,phuongdonghoa
thcsbinhthang,Trường THCS Bình Thắng,thcs,phuongdonghoa
thcsdonghoa,Trường THCS Đông Hòa,thcs,phuongdonghoa
mamnonanhdao,Trường Mầm non Anh Đào,mn,phuongdonghungthuan
mgsonca1,Mẫu Giáo Sơn Ca 1,mn,phuongdonghungthuan
mnbengoanq12,Mầm non Bé Ngoan,mn,phuongdonghungthuan
mnngoclan,Mầm non Ngọc Lan,mn,phuongdonghungthuan
mnsonca3q12,Mầm non Sơn Ca 3,mn,phuongdonghungthuan
mnsonca7q12,Mầm non Sơn Ca 7,mn,phuongdonghungthuan
mnsoncaq12,Mầm non Sơn Ca,mn,phuongdonghungthuan
thlytutrong,Tiểu học Lý Tự Trọng,th,phuongdonghungthuan
thnguyenankhuongq12,TH Nguyễn An Khương,th,phuongdonghungthuan
thnguyendu,Tiểu Học Nguyễn Du,th,phuongdonghungthuan
thnguyenkhuyenq12,Tiểu Học Nguyễn Khuyến,th,phuongdonghungthuan
thnguyenthidinhq12,Tiểu Học Nguyễn Thị Định,th,phuongdonghungthuan
thnguyenthiminhkhaiq12,Tiểu Học Nguyễn Thị Minh Khai,th,phuongdonghungthuan
ththandong,Tiểu Học Thần Đồng,th,phuongdonghungthuan
ththuankieu,Tiểu Học Thuận Kiều,th,phuongdonghungthuan
thtranvanonq12,Tiểu Học Trần Văn Ơn,th,phuongdonghungthuan
thtruongdinhq12,Trường Tiểu học Trương Định,th,phuongdonghungthuan
thtueduc,Trường Tiểu học Tuệ Đức,th,phuongdonghungthuan
th-thcstainangtrechaua,Tiểu học – THCS Tài năng trẻ Châu Á,thcs,phuongdonghungthuan
thcshahuytapq12,THCS Hà Huy Tập,thcs,phuongdonghungthuan
thcsnguyenanhthu,THCS Nguyễn Ảnh Thủ,thcs,phuongdonghungthuan
thcsnguyenvinhnghiep,THCS Nguyễn Vĩnh Nghiệp,thcs,phuongdonghungthuan
thcsphanboichauq12,THCS Phan Bội Châu,thcs,phuongdonghungthuan
thcstranphuq12,THCS Trần Phú - Quận 12,thcs,phuongdonghungthuan
mghuongsen,Mẫu giáo Hương Sen,mn,phuongducnhuan
mgsonca5,Mẫu Giáo Sơn Ca 5,mn,phuongducnhuan
mnbcsonca9,Mầm non Sơn Ca 9,mn,phuongducnhuan
mnhoasuphunhuan,Mầm non tư thục Hoa Sứ,mn,phuongducnhuan
mnsonca4phunhuan,Mầm non Sơn Ca 4,mn,phuongducnhuan
mnsonca5phunhuan,TRƯỜNG MẦM NON SƠN CA 5,mn,phuongducnhuan
thcaobaquat,Tiểu Học Cao Bá Quát,th,phuongducnhuan
thcoloa,Tiểu Học Cổ Loa,th,phuongducnhuan
thhovanhue,Tiểu Học Hồ Văn Huê,th,phuongducnhuan
thsonglo,Tiểu Học Sông Lô,th,phuongducnhuan
thcsdoclap,THCS Độc Lập,thcs,phuongducnhuan
thcstranhuylieu,Trường THCS Trần Huy Liệu,thcs,phuongducnhuan
mn15bbinhthanh,Mầm non 15 B,mn,phuonggiadinh
mn15binhthanh,Mầm non 15,mn,phuonggiadinh
mn17binhthanh,Mầm non 17,mn,phuonggiadinh
mn1binhthanh,Mầm non 1,mn,phuonggiadinh
mn2binhthanh,Mầm non 2,mn,phuonggiadinh
mn3binhthanh,Mầm Non 3,mn,phuonggiadinh
mn7abinhthanh,Mầm non 7A,mn,phuonggiadinh
mn7bbinhthanh,Mầm non 7B,mn,phuonggiadinh
thbevandan,Tiểu Học Bế Văn Đàn,th,phuonggiadinh
thdaynuixanh,TIỂU HỌC DÃY NÚI XANH - BÌNH THẠNH,th,phuonggiadinh
thhahuytap,Tiểu Học Hà Huy Tập,th,phuonggiadinh
thhongha,Tiểu Học Hồng Hà,th,phuonggiadinh
thlamsonbinhthanh,Tiểu Học Lam Sơn,th,phuonggiadinh
thledinhchinhbinhthanh,Tiểu Học Lê Đình Chinh,th,phuonggiadinh
thtovinhdien,Tiểu Học Tô Vĩnh Diện,th,phuonggiadinh
thcsdienbien,THCS Điện Biên,thcs,phuonggiadinh
thcshahuytap,THCS Hà Huy Tập,thcs,phuonggiadinh
thcslamsonbinhthanh,THCS Lam Sơn,thcs,phuonggiadinh
thcstruongcongdinh,THCS Trương Công Định,thcs,phuonggiadinh
mnanhdaogovap,Mầm non Anh Đào,mn,phuonggovap
mnquynhhuonggovap,Mầm non Quỳnh Hương,mn,phuonggovap
mnthuytiengovap,Mầm non Thủy Tiên,mn,phuonggovap
thkimdonggovap,Tiểu Học Kim Đồng,th,phuonggovap
thtranquangkhaigovap,Tiểu Học Trần Quang Khải,th,phuonggovap
thcsquangtrunggovap,THCS Quang Trung,thcs,phuonggovap
mnhoahonggovap,Mầm non Hoa Hồng,mn,phuonghanhthong
mnhoalangovap,Mầm non Hoa Lan,mn,phuonghanhthong
mnhoaquynhgovap,Mầm non Hoa Quỳnh,mn,phuonghanhthong
mnhongnhung,Mầm non Hồng Nhung,mn,phuonghanhthong
mnnhatquynh,Mầm non Nhật Quỳnh,mn,phuonghanhthong
mnsoncagovap,Mầm non Sơn Ca,mn,phuonghanhthong
thhanhthong,Tiểu Học Hanh Thông,th,phuonghanhthong
thnguyenthuonghien,Tiểu học Nguyễn Thượng Hiền,th,phuonghanhthong
thphamngulao,Tiểu Học Phạm Ngũ Lão,th,phuonghanhthong
thtranquoctoangovap,Tiểu Học Trần Quốc Toản,th,phuonghanhthong
thtranvanongovap,Tiểu Học Trần Văn Ơn,th,phuonghanhthong
thcsgovap,THCS Gò Vấp,thcs,phuonghanhthong
thcsnguyenvantroigovap,THCS Nguyễn Văn Trỗi,thcs,phuonghanhthong
thcsphanvantri,THCS Phan Văn Trị,thcs,phuonghanhthong
thcstruongson,THCS Trường Sơn,thcs,phuonghanhthong
hoahongtd,Mầm non Hoa Hồng,mn,phuonghiepbinh
mnhiepbinh,Trường Mầm non Hiệp Bình,mn,phuonghiepbinh
mnhiepbinhchanh,Mầm non Hiệp Bình Chánh,mn,phuonghiepbinh
mnhiepbinhchanh2,Mầm non Hiệp Bình Chánh II,mn,phuonghiepbinh
mnhiepbinhchanh3,Mầm non Hiệp Bình Chánh III,mn,phuonghiepbinh
mnhiepbinhphuoc,Mầm non Hiệp Bình Phước,mn,phuonghiepbinh
mnhuetrangtd,Mầm Non Huệ Trắng,mn,phuonghiepbinh
mnhuongduong-td,Mầm non Hướng Dương,mn,phuonghiepbinh
mnhuongsenthuduc,Mầm non Hương Sen,mn,phuonghiepbinh
mnsoncathuduc,Mầm non Sơn Ca 3,mn,phuonghiepbinh
mnthienan3,Mầm non Thiên Ân 3,mn,phuonghiepbinh
mntrinhvuong,Mầm non Trinh Vương,mn,phuonghiepbinh
thbinhquoi,Tiểu Học Bình Quới,th,phuonghiepbinh
thbinhtrieu,Tiểu Học Bình Triệu,th,phuonghiepbinh
thdangthiranh,Tiểu Học Đặng Thị Rành,th,phuonghiepbinh
thdangvanbat,Tiểu Học Đặng Văn Bất,th,phuonghiepbinh
thdaosontay,Tiểu Học Đào Sơn Tây,th,phuonghiepbinh
thhiepbinhchanh,Tiểu Học Hiệp Bình Chánh,th,phuonghiepbinh
thhiepbinhphuoc,Tiểu Học Hiệp Bình Phước,th,phuonghiepbinh
thlinhdong,Tiểu học Linh Đông,th,phuonghiepbinh
thcshiepbinh,THCS Hiệp Bình,thcs,phuonghiepbinh
thcslinhdong,THCS Linh Đông,thcs,phuonghiepbinh
thcsngochiquoc,THCS Ngô Chí Quốc,thcs,phuonghiepbinh
mnhoabinh1,Mầm non 14,mn,phuonghoabinh
mnhoabinh2,Mầm non 5,mn,phuonghoabinh
thdaithanh,Tiểu Học Đại Thành,th,phuonghoabinh
thhoabinhq11,Trường Tiểu học Hòa Bình,th,phuonghoabinh
thtranvanonq11,Tiểu Học Trần Văn Ơn,th,phuonghoabinh
thcslequydonq11,THCS Lê Qúy Đôn,thcs,phuonghoabinh
thcsnguyenhueq11,THCS Nguyễn Huệ,thcs,phuonghoabinh
mn19thang5hoahung,Mầm non 19-5,mn,phuonghoahung
mnhoabinh-hoahung,"TRƯỜNG MẦM NON HÒA BÌNH, PHƯỜNG HÒA HƯNG",mn,phuonghoahung
mnhoasen-hoahung,Mầm non Phường 13,mn,phuonghoahung
mnmangnon1,Mầm non Măng non I,mn,phuonghoahung
mntuoitho-hoahung,MN Tuổi Thơ Hòa Hưng,mn,phuonghoahung
thbachai,Tiểu Học Bắc Hải,th,phuonghoahung
thlethirieng,Tiểu Học Lê Thị Riêng,th,phuonghoahung
ththienhoduong,Tiểu Học Thiên Hộ Dương,th,phuonghoahung
thtohienthanh,Tiểu Học Tô Hiến Thành,th,phuonghoahung
thtrieuthitrinh,TIỂU HỌC TRIỆU THỊ TRINH,th,phuonghoahung
thcscachmangthangtam,THCS Cách Mạng Tháng Tám,thcs,phuonghoahung
thcshoahungq10,THCS Hòa Hưng,thcs,phuonghoahung
thcslachongq10,THCS Lạc Hồng,thcs,phuonghoahung
thcstranphu,THCS Trần Phú,thcs,phuonghoahung
thdinhphuoc,Trường Tiểu học Định Phước,th,phuonghoaloi
mn10q4,Mầm Non 10 Quận 4,mn,phuongkhanhhoi
mn14q4,Mầm non 14 Quận 4,mn,phuongkhanhhoi
mn6q4,Mầm non 6 Quận 4,mn,phuongkhanhhoi
mn9q4,Mầm non 9 Quận 4,mn,phuongkhanhhoi
thdongdaq4,Tiểu Học Đống Đa,th,phuongkhanhhoi
thlynhonq4,Tiểu Học Lý Nhơn,th,phuongkhanhhoi
thnguyenvantroiq4,Tiểu Học Nguyễn Văn Trỗi,th,phuongkhanhhoi
thcschilang,THCS Chi Lăng,thcs,phuongkhanhhoi
mganhhong,Mẫu Giáo Ánh Hồng,mn,phuonglinhxuan
mnhoadaothuduc,Mầm non Hoa Đào,mn,phuonglinhxuan
mnhoangyen,Mầm non Hoàng Yến,mn,phuonglinhxuan
mnlinhtay,Mầm non Linh Tây,mn,phuonglinhxuan
mnlinhtrung,Mầm non Linh Trung,mn,phuonglinhxuan
mnlinhxuan,Mầm non Linh Xuân,mn,phuonglinhxuan
mnsaomaithuduc,Mầm non Sao Mai,mn,phuonglinhxuan
mnsenhongthuduc,Mầm non Sen Hồng,mn,phuonglinhxuan
thdotanphong,Tiểu Học Đỗ Tấn Phong,th,phuonglinhxuan
thhoangdieuthuduc,Tiểu Học Hoàng Diệu,th,phuonglinhxuan
thlinhtay,Tiểu Học Linh Tây,th,phuonglinhxuan
thnguyenvanlichthuduc,Tiểu Học Nguyễn Văn Lịch,th,phuonglinhxuan
thnguyenvanno,Tiểu học Nguyễn Văn Nở,th,phuonglinhxuan
thnguyenvantriet,Tiểu Học Nguyễn Văn Triết,th,phuonglinhxuan
thxuanhiep,Tiểu Học Xuân Hiệp,th,phuonglinhxuan
thcslinhtrung,THCS Linh Trung,thcs,phuonglinhxuan
thcsnguyenvanba,THCS Nguyễn Văn Bá,thcs,phuonglinhxuan
thcsxuantruong,THCS Xuân Trường,thcs,phuonglinhxuan
mnhoathuong,Mầm non Hoa Thương,mn,phuonglongbinh
mnlongbinh,Mầm non Long Bình,mn,phuonglongbinh
mnlongson,Mầm Non Long Sơn,mn,phuonglongbinh
mnlongthanhmy,Mầm non Long Thạnh Mỹ,mn,phuonglongbinh
mnsoncaq9,Mầm non Sơn Ca 2,mn,phuonglongbinh
mntauyen,Mầm Non Tạ Uyên,mn,phuonglongbinh
thlongbinh,Tiểu Học Long Bình,th,phuonglongbinh
thlongthanhmy,Tiểu Học Long Thạnh Mỹ,th,phuonglongbinh
thnguyenminhqg,Tiểu Học Nguyễn Minh Quang,th,phuonglongbinh
thtauyenq9,Tiểu Học Tạ Uyên,th,phuonglongbinh
thcshungbinh,THCS Hưng Bình,thcs,phuonglongbinh
thcslongbinh,THCS Long Bình,thcs,phuonglongbinh
mnlonghuong,Mầm non Long Hương,mn,phuonglonghuong
thlongnguyen,Tiểu học Long Nguyên,th,phuonglongnguyen
mnhongoccantptd,Mầm non Hồ Ngọc Cẩn,mn,phuonglongphuoc
mnlongphuoc,Mầm non Long Phước,mn,phuonglongphuoc
mntamdatptd,Mầm non Tam Đa,mn,phuonglongphuoc
mntruongthanh,Mầm non Trường Thạnh,mn,phuonglongphuoc
thlongphuoc,Tiểu Học Long Phước,th,phuonglongphuoc
thtruongthanh,Tiểu Học Trường Thạnh,th,phuonglongphuoc
thcslongphuoc,THCS Long Phước,thcs,phuonglongphuoc
thcstruongthanh,THCS Trường Thạnh,thcs,phuonglongphuoc
mgtuoitho,Mầm non Tuổi Thơ,mn,phuonglongtruong
mnlongtruong,Mầm non Long Trường,mn,phuonglongtruong
thphuhuu,Tiểu Học Phú Hữu,th,phuonglongtruong
thphuocthanhq9,Tiểu Học Phước Thạnh,th,phuonglongtruong
thcslongtruong,THCS Long Trường,thcs,phuonglongtruong
thcsphuhuu,THCS Phú Hữu,thcs,phuonglongtruong
mangnonminhphung,Mầm non Măng Non,mn,phuongminhphung
mn2-minhphung,Mầm non 2,mn,phuongminhphung
mnbinhminh-minhphung,Trường Mầm non Bình Minh,mn,phuongminhphung
mncattuong-minhphung,Mầm non Cát Tường,mn,phuongminhphung
soncaminhphung,Mần non Sơn Ca,mn,phuongminhphung
thaucoq11,Tiểu Học Âu Cơ,th,phuongminhphung
thdetham,Trường Tiểu học Đề Thám,th,phuongminhphung
thhungviet,Trường Tiểu Học Hưng Việt,th,phuongminhphung
thledinhchinhq11,Tiểu Học Lê Đình Chinh,th,phuongminhphung
thnguyenthiq11,Tiểu Học Nguyễn Thi,th,phuongminhphung
thphamvanhaiq11,Tiểu Học Phạm Văn Hai,th,phuongminhphung
thcshaugiangq11,THCS Hậu Giang,thcs,phuongminhphung
thcsleanhxuanq11,THCS Lê Anh Xuân,thcs,phuongminhphung
thcsnguyenminhhoang,THCS Nguyễn Minh Hoàng,thcs,phuongminhphung
mghoanganhq3,Mẫu Giáo Hoàng Anh,mn,phuongnhieuloc
mn11q3,Mầm non 11,mn,phuongnhieuloc
mn12q3,Mầm Non 12,mn,phuongnhieuloc
mn13q3,Mầm non 13,mn,phuongnhieuloc
mn14q3,Mầm non 14,mn,phuongnhieuloc
mn9q3,Mầm non 9,mn,phuongnhieuloc
thkydong,Tiểu Học Kỳ Đồng,th,phuongnhieuloc
thnguyenthiq3,Tiểu Học Nguyễn Thi,th,phuongnhieuloc
thnguyenviethong,Tiểu Học Nguyễn Việt Hồng,th,phuongnhieuloc
thtranquangdieu,Tiểu Học Trần Quang Diệu,th,phuongnhieuloc
thtranvandang,Tiểu Học Trần Văn Đang,th,phuongnhieuloc
thtruongquyen,Tiểu Học Trương Quyền,th,phuongnhieuloc
thcsbachdangq3,THCS Bạch Đằng,thcs,phuongnhieuloc
thcsdoanthidiem,THCS Đoàn Thị Điểm,thcs,phuongnhieuloc
thcsluongthevinhq3,THCS Lương Thế Vinh,thcs,phuongnhieuloc
lopmamnon-phudinh,Lớp Mầm non Phường Phú Định,mn,phuongphudinh
mnanhduongq8,TRƯỜNG MẦM NON ÁNH DƯƠNG,mn,phuongphudinh
mnbengoanq8,Trường Mầm Non Bé Ngoan - Phường Phú Định,mn,phuongphudinh
mnbonghongq8,Trường Mầm non Bông Hồng,mn,phuongphudinh
mnbongsenq8,Mầm non Bông Sen,mn,phuongphudinh
mnhoamiq8,Trường Mầm non Họa Mi,mn,phuongphudinh
mnhoaphuong,Mầm non Hoa Phượng,mn,phuongphudinh
mnkimdongq8,Mầm non Kim Đồng,mn,phuongphudinh
mnsoncaq8,Mầm non Sơn Ca,mn,phuongphudinh
mnvietmy2,TRƯỜNG MẦM NON VIỆT MỸ – PHÚ ĐỊNH,mn,phuongphudinh
thhongduc,Tiểu Học Hồng Đức,th,phuongphudinh
thluuhuuphuoc,Tiểu Học Lưu Hữu Phước,th,phuongphudinh
thlythaito,Tiểu Học Lý Thái Tổ,th,phuongphudinh
thnguyencongtru,Tiểu Học Nguyễn Công Trứ,th,phuongphudinh
thnguyennhuocthi,Tiểu Học Nguyễn Nhược Thị,th,phuongphudinh
thtrannguyenhan,Tiểu Học Trần Nguyên Hãn,th,phuongphudinh
thtuylyvuong,Tiểu Học Tuy Lý Vương,th,phuongphudinh
th-thcsvietmyq8,TH-THCS Việt Mỹ,thcs,phuongphudinh
thcsbinhdong,THCS Bình Đông,thcs,phuongphudinh
thcslelai,THCS Lê Lai,thcs,phuongphudinh
thcstungthienvuong,THCS Tùng Thiện Vương,thcs,phuongphudinh
mnrangdong12,Mầm non Rạng Đông 12,mn,phuongphulam
mnrangdong13,Mầm non Rạng Đông 13,mn,phuongphulam
mnrangdong14,Mầm non Rạng Đông 14,mn,phuongphulam
thdangnguyencan,Tiểu Học Đặng Nguyên Cẩn,th,phuongphulam
thhimlam,Tiểu Học Him Lam,th,phuongphulam
thlamsonq6,Tiểu Học Lam Sơn,th,phuongphulam
thphulam,Tiểu Học Phú Lâm,th,phuongphulam
thtruongcongdinh,Tiểu Học Trương Công Định,th,phuongphulam
thcsdoanket,THCS Đoàn Kết,thcs,phuongphulam
mnhaiaubay,Trường Mầm non Hải Âu Bay,mn,phuongphunhuan
mnsonca10,Mầm Non Sơn Ca 10,mn,phuongphunhuan
mnsonca11,Mầm non Sơn Ca 11,mn,phuongphunhuan
mnsonca12,Mầm non Sơn Ca 12,mn,phuongphunhuan
mnsonca14,Mầm non Sơn Ca 14,mn,phuongphunhuan
mnsonca17,Mầm non Sơn Ca 17,mn,phuongphunhuan
mnsonca8phunhuan,Mầm non Sơn Ca 8,mn,phuongphunhuan
thchilinh,Tiểu Học Chí Linh,th,phuongphunhuan
thdangvanngu,Tiểu Học Đặng Văn Ngữ,th,phuongphunhuan
thnguyendinhchinh,Tiểu Học Nguyễn Đình Chính,th,phuongphunhuan
thphamngocthach,Tiểu Học Phạm Ngọc Thạch,th,phuongphunhuan
thvantuong,Tiểu Học Vạn Tường,th,phuongphunhuan
thcsdaoduyanhphunhuan,THCS Đào Duy Anh,thcs,phuongphunhuan
mnbinhminh2td,Mầm non Bình Minh 2,mn,phuongphuoclong
mnhoahongdo,Mầm non Hoa Hồng Đỏ,mn,phuongphuoclong
mnhoalanq9,Mầm non Hoa Lan,mn,phuongphuoclong
mnhoasenq9,Mầm non Hoa Sen,mn,phuongphuoclong
mnkieudam,Mầm non Kiều Đàm,mn,phuongphuoclong
mnmattroiachau,Mầm non Mặt Trời Á Châu,mn,phuongphuoclong
mnphuocbinh,Mầm non Phước Bình,mn,phuongphuoclong
mnphuoclongbtptd,Mầm non Phước Long B,mn,phuongphuoclong
mnvuongquoctihon2,Mầm non Vương Quốc Tí Hon 2,mn,phuongphuoclong
thbuivanmoi,Tiểu Học Bùi Văn Mới,th,phuongphuoclong
thnguyenvanba,Tiểu Học Nguyễn Văn Bá,th,phuongphuoclong
thphamvanchinh,Tiểu học Phạm Văn Chính,th,phuongphuoclong
thphuocbinh,Tiểu Học Phước Bình,th,phuongphuoclong
thtranthibuoi,Tiểu học Trần Thị Bưởi,th,phuongphuoclong
thvovanhat,Tiểu Học Võ Văn Hát,th,phuongphuoclong
thcsdangtantai,THCS Đặng Tấn Tài,thcs,phuongphuoclong
thcsphuocbinh,THCS Phước Bình,thcs,phuongphuoclong
thphuocthang,Trường Tiểu học Phước Thắng,th,phuongphuocthang
mnhoabinhtanphu,Mầm non Hòa Bình,mn,phuongphuthanh
mnhoanganhtanphu,Mầm non Hoàng Anh,mn,phuongphuthanh
mntaohong2tanphu,TRƯỜNG MẦM NON TÁO HỒNG 2,mn,phuongphuthanh
mnthienly,Mầm non Thiên Lý,mn,phuongphuthanh
thaucotanphu,Tiểu Học Âu Cơ,th,phuongphuthanh
thduytan,Tiểu Học Duy Tân,th,phuongphuthanh
thhieptan,Tiểu Học Hiệp Tân,th,phuongphuthanh
thphanchutrinhtanphu,Tiểu Học Phan Chu Trinh,th,phuongphuthanh
thvothisautanphu,Tiểu Học Võ Thị Sáu,th,phuongphuthanh
th-thcshungvuong,TH-THCS Hùng Vương,thcs,phuongphuthanh
thcsdongkhoitanphu,THCS Đồng Khởi,thcs,phuongphuthanh
thcstanthoihoa,THCS Tân Thới Hòa,thcs,phuongphuthanh
mnhoami-phutho,Trường Mầm non Họa Mi,mn,phuongphutho
mnphutho,Mầm non 15,mn,phuongphutho
mnsaovang-phutho,Mầm non 13,mn,phuongphutho
mnsonca-phutho,Mầm non Phường 12,mn,phuongphutho
thnguyenthinho,Tiểu Học Nguyễn Thị Nhỏ,th,phuongphutho
thphutho,Tiểu học Phú Thọ,th,phuongphutho
thquyetthang,Tiểu Học Quyết Thắng,th,phuongphutho
thtrungtrac,Tiểu Học Trưng Trắc,th,phuongphutho
thcslugia,THCS Lữ Gia,thcs,phuongphutho
thcsphutho,THCS Phú Thọ,thcs,phuongphutho
mghongantanphu,Mẫu giáo Hồng Ân,mn,phuongphuthohoa
mgmaihong,Mẫu giáo Mai Hồng,mn,phuongphuthohoa
mgtuoihong,Mẫu Giáo Tuổi Hồng,mn,phuongphuthohoa
mnbongsentanphu,Mầm non Bông Sen,mn,phuongphuthohoa
mnhoaanhdaotanphu,Mầm non Hoa Anh Đào,mn,phuongphuthohoa
mnnhieuloc,Mầm non Nhiêu Lộc,mn,phuongphuthohoa
mnrangdongtanphu,Mầm non Rạng Đông,mn,phuongphuthohoa
mntrangnguyentanphu,Mầm non Trạng Nguyên,mn,phuongphuthohoa
mnvanganhtanphu,Mầm non Vàng Anh,mn,phuongphuthohoa
thlevantamtanphu,Tiểu Học Lê Văn Tám,th,phuongphuthohoa
thtanhuong,Tiểu Học Tân Hương,th,phuongphuthohoa
thtanthoi,Tiểu Học Tân Thới,th,phuongphuthohoa
thtovinhdientanphu,Tiểu Học Tô Vĩnh Diện,th,phuongphuthohoa
thcsleanhxuantanphu,THCS Lê Anh Xuân,thcs,phuongphuthohoa
thcsnguyenhuetanphu,THCS Nguyễn Huệ,thcs,phuongphuthohoa
thcsphanboichautanphu,THCS Phan Bội Châu,thcs,phuongphuthohoa
thcsvothanhtrang,THCS Võ Thành Trang,thcs,phuongphuthohoa
mnhoahongq7,Mầm non Hoa Hồng,mn,phuongphuthuan
mnphuthuan,Trường Mầm non Phú Thuận Quận 7,mn,phuongphuthuan
thleanhxuanq7,Tiểu Học Lê Anh Xuân,th,phuongphuthuan
thnguyenvanhuong,Tiểu Học Nguyễn Văn Hưởng,th,phuongphuthuan
thphuthuanq7,TH Phú Thuận,th,phuongphuthuan
thcsngotatto,THCS Ngô Tất Tố,thcs,phuongphuthuan
mgsapa,Trường mẫu giáo dân lập Sapa,mn,phuongsaigon
mn30thang4-saigon,Mầm non 30-4 Quận 1,mn,phuongsaigon
mnhoalu,Mầm non Hoa Lư,mn,phuongsaigon
mnlethirieng,Mầm non Lê Thị Riêng,mn,phuongsaigon
thhoabinh-saigon,Tiểu Học Hòa Bình,th,phuongsaigon
thnguyenbinhkhiem,Tiểu Học Nguyễn Bỉnh Khiêm,th,phuongsaigon
thcsvotruongtoan,THCS Võ Trường Toản,thcs,phuongsaigon
mgmaikhoithuduc,Mẫu Giáo Mai Khôi,mn,phuongtambinh
mnbinhchieu,Mầm non Bình Chiểu,mn,phuongtambinh
mnhoamaithuduc,Mầm non Hoa Mai,mn,phuongtambinh
mnhoami,Mầm non Họa Mi 3,mn,phuongtambinh
mntambinh,Mầm non Tam Bình,mn,phuongtambinh
mntamphu,Mầm non Tam Phú,mn,phuongtambinh
thbinhchieu,Tiểu Học Bình Chiểu,th,phuongtambinh
thnguyenvantay,TH Nguyễn Văn Tây,th,phuongtambinh
thtambinh,Tiểu Học Tam Bình,th,phuongtambinh
ththaivanlung1,Tiểu Học Thái Văn Lung,th,phuongtambinh
thtranvanvan,TIỂU HỌC TRẦN VĂN VÂN,th,phuongtambinh
thtruongvanhai,Tiểu Học Trương Văn Hải,th,phuongtambinh
thcsbinhchieu,THCS Bình Chiểu,thcs,phuongtambinh
thcsduongvanthi,THCS Dương Văn Thì,thcs,phuongtambinh
thcstambinh,THCS Tam Bình,thcs,phuongtambinh
thcsthaivanlung,Trường THCS Thái Văn Lung,thcs,phuongtambinh
mnvietmy-tamthang,Trường Mầm non Việt Mỹ,mn,phuongtamthang
thsongnguvungtau,Trường Tiểu học Song ngữ Vũng Tàu,th,phuongtamthang
mnbengoan-tandinh,Mầm non Bé Ngoan,mn,phuongtandinh
mntandinh,Mầm non Tân Định,mn,phuongtandinh
thdinhtienhoangptandinh,Tiểu Học Đinh Tiên Hoàng,th,phuongtandinh
thduocsong,Tiểu Học Đuốc Sống,th,phuongtandinh
thtrankhanhdu,Tiểu Học Trần Khánh Dư,th,phuongtandinh
th-thcstandinh,TRƯỜNG TIỂU HỌC - TRUNG HỌC CƠ SỞ TÂN ĐỊNH,thcs,phuongtandinh
thcshuynhkhuongninh,THCS Huỳnh Khương Ninh,thcs,phuongtandinh
thcstranvanon,THCS Trần Văn Ơn,thcs,phuongtandinh
thbuithixuan,Trường Tiểu học Bùi Thị Xuân,th,phuongtandonghiep
thdongan,Trường Tiểu học Đông An,th,phuongtandonghiep
thtanbinh-tandonghiep,Trường Tiểu học Tân Bình,th,phuongtandonghiep
thcstanbinh-tandonghiep,Trường THCS Tân Bình,thcs,phuongtandonghiep
thcstandonghiepb,Trường THCS Tân Đông Hiệp B,thcs,phuongtandonghiep
mnhiepphu,Mầm non Hiệp Phú,mn,phuongtangnhonphu
mnhoangyenq9,Mầm non Hoàng Yến 2,mn,phuongtangnhonphu
mnphongphu,Mầm non Phong Phú,mn,phuongtangnhonphu
mntangnhonphu,Trường Mầm non Tăng Nhơn Phú,mn,phuongtangnhonphu
mntanphu,Mầm non Tân Phú,mn,phuongtangnhonphu
mntuoihoaq9,Mầm non Tuổi Hoa,mn,phuongtangnhonphu
mntuoihongq9,Mầm non Tuổi Hồng,mn,phuongtangnhonphu
mntuoingocq9,Mầm non Tuổi Ngọc,mn,phuongtangnhonphu
